Date,Open,High,Low,Close,Adj Close,Volume
22-02-2012,170.399994,173.169998,170.190002,172.940002,172.940002,16676500
23-02-2012,172.690002,173.770004,172.279999,173.020004,173.020004,11654200
24-02-2012,172.630005,173.039993,172,172.229996,172.229996,9293700
27-02-2012,172.139999,172.919998,171.580002,171.699997,171.699997,7340900
28-02-2012,172.839996,174,172.600006,173.490005,173.490005,12413000
29-02-2012,173.190002,173.589996,164,164.289993,164.289993,44149000
01-03-2012,166.100006,167.720001,165.75,166.610001,166.610001,19200700
02-03-2012,166.229996,166.830002,165.630005,166.339996,166.339996,9298100
05-03-2012,165.770004,165.910004,164.550003,165.649994,165.649994,12071400
06-03-2012,162.149994,162.809998,161.779999,162.699997,162.699997,15533200
07-03-2012,162.759995,164.020004,162.509995,163.630005,163.630005,9553300
08-03-2012,164.740005,165.550003,164.050003,165.279999,165.279999,8858200
09-03-2012,163.639999,166.570007,163.25,166.380005,166.380005,13698200
12-03-2012,165.330002,165.580002,164.399994,165.070007,165.070007,6523800
13-03-2012,163.940002,165.410004,161.429993,162.300003,162.300003,20047000
14-03-2012,159.610001,160.580002,158.800003,159.570007,159.570007,28822100
15-03-2012,159.729996,161.979996,159.279999,161.080002,161.080002,12689300
16-03-2012,160.080002,161.539993,159.919998,161.300003,161.300003,12549200
19-03-2012,160.850006,162.300003,160.720001,161.589996,161.589996,9920800
20-03-2012,160.199997,161.080002,159.770004,160.130005,160.130005,11643700
21-03-2012,160.630005,161.479996,160.149994,160.210007,160.210007,6672700
22-03-2012,158.199997,159.710007,158.130005,159.570007,159.570007,11107700
23-03-2012,160.880005,161.880005,160.520004,161.529999,161.529999,10689000
26-03-2012,163.169998,164.539993,162.949997,164.399994,164.399994,13226700
27-03-2012,164.520004,164.889999,163.130005,163.240005,163.240005,10908700
28-03-2012,162.710007,162.979996,160.660004,161.509995,161.509995,11008200
29-03-2012,161.139999,161.460007,159.809998,161.279999,161.279999,11026900
30-03-2012,161.669998,162.330002,161.220001,162.119995,162.119995,7534000
02-04-2012,161.960007,163.559998,161.809998,162.940002,162.940002,7541700
03-04-2012,163.229996,163.229996,159.169998,159.889999,159.889999,16822300
04-04-2012,157.699997,158.029999,156.580002,157.210007,157.210007,15975600
05-04-2012,157.869995,158.679993,157.779999,158.309998,158.309998,8967700
09-04-2012,159.720001,160.009995,158.910004,159.369995,159.369995,8245800
10-04-2012,159.660004,161.580002,158.470001,161.100006,161.100006,14288500
11-04-2012,161.199997,161.539993,160.740005,161.070007,161.070007,10005400
12-04-2012,160.740005,163.199997,160.460007,162.699997,162.699997,9229900
13-04-2012,162.449997,162.460007,160.169998,160.850006,160.850006,10041000
16-04-2012,160.509995,161.179993,159.529999,160.460007,160.460007,6670500
17-04-2012,160.539993,160.960007,158.75,160.25,160.25,7587100
18-04-2012,159.490005,160.119995,159.070007,159.309998,159.309998,7463000
19-04-2012,160,160.639999,159.020004,159.429993,159.429993,9914400
20-04-2012,159.25,159.910004,159.199997,159.539993,159.539993,9148800
23-04-2012,158.199997,159.179993,157.880005,159.070007,159.070007,8876800
24-04-2012,159.630005,160.179993,159.289993,159.300003,159.300003,5200600
25-04-2012,159.479996,159.960007,157.759995,159.619995,159.619995,15093700
26-04-2012,160.460007,161.380005,160.100006,161.029999,161.029999,10918700
27-04-2012,161.779999,161.970001,161.149994,161.380005,161.380005,8906600
30-04-2012,160.490005,161.880005,160.309998,161.880005,161.880005,8007300
01-05-2012,162.089996,162.179993,160.889999,161.320007,161.320007,7414800
02-05-2012,160.740005,160.779999,159.759995,160.589996,160.589996,5632300
03-05-2012,159.160004,159.479996,158.369995,158.970001,158.970001,13172000
04-05-2012,158.820007,159.979996,158.570007,159.470001,159.470001,11389600
07-05-2012,159.309998,159.339996,158.449997,159.080002,159.080002,4927800
08-05-2012,156.610001,156.729996,154.919998,156,156,17852300
09-05-2012,154.100006,154.979996,153.600006,154.470001,154.470001,13864000
10-05-2012,155.160004,155.570007,154.639999,154.770004,154.770004,7460100
11-05-2012,153.440002,154.470001,153.240005,153.559998,153.559998,8285600
14-05-2012,151.580002,152.029999,151,151.330002,151.330002,13388200
15-05-2012,151.160004,151.440002,149.630005,149.740005,149.740005,13354500
16-05-2012,149.479996,150.699997,148.600006,149.460007,149.460007,16750700
17-05-2012,150.830002,153.399994,150.380005,152.800003,152.800003,18080700
18-05-2012,154.460007,155.130005,153.970001,154.550003,154.550003,12994200
21-05-2012,154.110001,154.949997,153.860001,154.649994,154.649994,7542400
22-05-2012,153.589996,154.419998,151.550003,152.080002,152.080002,11302700
23-05-2012,151.5,151.839996,148.839996,151.619995,151.619995,18854500
24-05-2012,152.710007,152.910004,150.619995,151.410004,151.410004,9697100
25-05-2012,151.889999,152.850006,151.630005,152.679993,152.679993,6212900
29-05-2012,153.470001,153.619995,150.25,151.020004,151.020004,11243100
30-05-2012,149.740005,152.380005,148.529999,151.910004,151.910004,16764800
31-05-2012,152.029999,152.710007,150.619995,151.619995,151.619995,10114300
01-06-2012,155.410004,158.309998,154.869995,157.5,157.5,27399400
04-06-2012,157.259995,157.440002,156.160004,157.320007,157.320007,11462100
05-06-2012,156.919998,157.270004,156.419998,157.139999,157.139999,8095300
06-06-2012,158.899994,159.199997,156.589996,157.210007,157.210007,15771600
07-06-2012,157.820007,157.839996,153.190002,154.5,154.5,18921600
08-06-2012,153.020004,154.830002,153,154.729996,154.729996,11074800
11-06-2012,154.830002,155.399994,153.550003,155.360001,155.360001,9166600
12-06-2012,155.490005,157.039993,155.449997,156.460007,156.460007,13241100
13-06-2012,157.610001,157.649994,156.419998,157.119995,157.119995,10109800
14-06-2012,157.639999,157.940002,156.240005,157.75,157.75,11502400
15-06-2012,157.75,158.460007,157.419998,157.839996,157.839996,13099300
18-06-2012,157.460007,158.210007,156.539993,157.929993,157.929993,6733000
19-06-2012,158,158.139999,156.970001,157.160004,157.160004,6945900
20-06-2012,156,157.369995,154.259995,155.970001,155.970001,16970200
21-06-2012,153.729996,154.229996,151.800003,152.020004,152.020004,14447500
22-06-2012,152.039993,152.699997,151.210007,152.639999,152.639999,6755200
25-06-2012,152.580002,154.160004,152.25,153.759995,153.759995,6183600
26-06-2012,153.029999,153.300003,152.130005,152.619995,152.619995,6123400
27-06-2012,153.300003,153.449997,152.149994,152.830002,152.830002,4840700
28-06-2012,151.899994,152.160004,150.149994,151.050003,151.050003,8755600
29-06-2012,155.130005,155.949997,154.520004,155.190002,155.190002,10378200
02-07-2012,154.669998,155.550003,154.339996,155.089996,155.089996,3654200
03-07-2012,156.970001,157.720001,156.770004,157.460007,157.460007,5037700
05-07-2012,155.440002,156.399994,154.449997,155.679993,155.679993,5359900
06-07-2012,154.229996,154.490005,152.949997,153.710007,153.710007,7045700
09-07-2012,153.610001,154.580002,153.429993,154.039993,154.039993,4468500
10-07-2012,155.130005,155.179993,151.779999,152.149994,152.149994,9747900
11-07-2012,152.580002,153.449997,152.020004,152.990005,152.990005,6838500
12-07-2012,151.259995,153.070007,150.850006,152.589996,152.589996,11394800
13-07-2012,153.449997,154.940002,153.440002,154.139999,154.139999,5080300
16-07-2012,154.429993,154.75,153.979996,154.210007,154.210007,5710900
